No;Kaynak;Tus / Oge;Ne yapiyor;AHK'de nereye ait;Aktarildi mi;Python'da nereye ait;Ayni isi mi yapiyor;SENIN NOTUN;Oncelik
1;AutoHotkey.ahk;Pause & Home;Script reload;global (SuspendExempt);VAR;keymap: app.restart;evet;;
2;AutoHotkey.ahk;Pause & End;ExitApp;global;VAR;keymap: app.exit;evet;;
3;AutoHotkey.ahk;Pause & Delete;Diger AHK sureclerini oldur + cik;global;YOK;-;-;;
4;AutoHotkey.ahk;Pause & c;Busy kilidini ac;global;VAR;keymap: busy.free;evet;;
5;AutoHotkey.ahk;Pause & Space;KeyHistory dongusu;global;KISMEN;app.monitor;benzer, ayni degil;;
6;AutoHotkey.ahk;LButton (<70ms);Cift tik sayaci + beep;#HotIf cift tik;YOK;-;-;;
7;AutoHotkey.ahk;*1..*0;Combo sirasinda suppress;#HotIf Busy.isCombo;VAR;dispatch hook yutmasi;evet, mekanizma farkli;;
8;AutoHotkey.ahk;>#1 / >#2 / >#3;Makro 1/2/3 oynat;PROFIL: work;YOK;-;macro_recorder port edilmedi;;
9;AutoHotkey.ahk;SC132 / SC16C;Makro 1/2 oynat;PROFIL: home;YOK;-;-;;
10;AutoHotkey.ahk;Insert;MemSlots smart paste;#HotIf isMemSlots;KISMEN;ui/mem_slots.py F1-F10;farkli tus, benzer is;;
11;AutoHotkey.ahk;F13;handleF13: menu / hizli pano;fare yan tusu;VAR;keymap: menu.f13 + hold menu.clip;evet;;
12;AutoHotkey.ahk;F14;handleF14: slot menusu;fare yan tusu;KISMEN;keymap: menu.slots + drag select.start:F14;surukleme yeni;;
13;AutoHotkey.ahk;F15;kisa ^y, orta Esc;kaskad;VAR;build_cascades F15;evet;;
14;AutoHotkey.ahk;F16;kisa ^z, orta Enter;kaskad;VAR;build_cascades F16;evet;;
15;AutoHotkey.ahk;F17;Alt+Sag / Delete / End;kaskad;VAR;build_cascades F17;evet;;
16;AutoHotkey.ahk;F18;Alt+Sol / Backspace / Home;kaskad;VAR;build_cascades F18;evet;;
17;AutoHotkey.ahk;F19;^v / ^a^v / MemSlots;kaskad;VAR;build_cascades F19;evet;;
18;AutoHotkey.ahk;F20;^c / ^x / MemSlots;kaskad;VAR;build_cascades F20;evet;;
19;AutoHotkey.ahk;SC029 (^);cascadeCaret;klavye kaskad;KISMEN;Caret prefix: hold menu.clip, ^&1..9 pano;kaskad degil prefix;;
20;AutoHotkey.ahk;SC00F (Tab);cascadeTab;klavye kaskad;YOK;-;-;;
21;AutoHotkey.ahk;SC03A (CapsLock);cascadeCaps;klavye kaskad;YOK;-;-;;
22;AutoHotkey.ahk;SC00D (backtick);sysCommands menusu;klavye;VAR;keymap: Backtick -> menu.sys;evet;;
23;AutoHotkey.ahk;~LButton;handleLButton;fare;KISMEN;~LButton & F16/F19/F20;kismen;;
24;AutoHotkey.ahk;~MButton;handleMButton;fare;YOK;-;-;;
